Voltage,ADC Buffer Value,Time
2.625,896.0,1.7289435863494873
2.625,896.0,1.7488901615142822
2.61328125,892.0,1.7687902450561523
2.625,896.0,1.7886366844177246
2.61328125,892.0,1.808410882949829
2.625,896.0,1.8284239768981934
2.625,896.0,1.8484857082366943
2.625,896.0,1.868271827697754
2.61328125,892.0,1.8876051902770996
2.625,896.0,1.9077043533325195
2.61328125,892.0,1.9275529384613037
2.61328125,892.0,1.9475157260894775
2.625,896.0,1.9680571556091309
2.61328125,892.0,1.9878108501434326
2.625,896.0,2.007025718688965
2.625,896.0,2.0276546478271484
2.625,896.0,2.047358512878418
2.6162109375,893.0,2.067711591720581
2.61328125,892.0,2.087240219116211
2.625,896.0,2.1070728302001953
2.61328125,892.0,2.1271374225616455
2.61328125,892.0,2.146632194519043
2.625,896.0,2.166912078857422
2.61328125,892.0,2.186753034591675
2.61328125,892.0,2.2069954872131348
2.625,896.0,2.2263705730438232
2.625,896.0,2.2469873428344727
2.61328125,892.0,2.2669637203216553
2.625,896.0,2.286219835281372
2.625,896.0,2.3060925006866455
2.61328125,892.0,2.326434373855591
2.61328125,892.0,2.346675395965576
2.625,896.0,2.3663113117218018
2.625,896.0,2.3855721950531006
2.61328125,892.0,2.4060769081115723
2.625,896.0,2.425997734069824
2.61328125,892.0,2.4462201595306396
2.61328125,892.0,2.46622371673584
2.625,896.0,2.485887050628662
2.61328125,892.0,2.5058178901672363
2.61328125,892.0,2.525068759918213
2.625,896.0,2.5452017784118652
2.625,896.0,2.5650622844696045
2.625,896.0,2.585596799850464
2.625,896.0,2.600452423095703
2.61328125,892.0,2.625103235244751
2.61328125,892.0,2.645010232925415
2.61328125,892.0,2.6653316020965576
2.61328125,892.0,2.6845614910125732
2.6162109375,893.0,2.7052221298217773
2.625,896.0,2.7239933013916016
2.61328125,892.0,2.744208812713623
2.625,896.0,2.7639756202697754
2.625,896.0,2.785069704055786
2.625,896.0,2.804438591003418
2.61328125,892.0,2.824282646179199
2.61328125,892.0,2.8442139625549316
2.625,896.0,2.864218235015869
2.61328125,892.0,2.8841114044189453
2.61328125,892.0,2.904294490814209
2.6162109375,893.0,2.924302101135254
2.625,896.0,2.9440903663635254
2.625,896.0,2.9642434120178223
2.61328125,892.0,2.9834024906158447
2.61328125,892.0,3.0041117668151855
