Voltage,ADC Buffer Value,Time
1.265625,432.0,1.2054924964904785
0.123046875,42.0,1.2244880199432373
1.265625,432.0,1.2395012378692627
0.123046875,42.0,1.2570221424102783
1.259765625,430.0,1.2720212936401367
0.123046875,42.0,1.2900214195251465
1.265625,432.0,1.3052332401275635
0.123046875,42.0,1.3235738277435303
1.265625,432.0,1.3382775783538818
0.123046875,42.0,1.3568501472473145
1.265625,432.0,1.3725597858428955
0.123046875,42.0,1.3888704776763916
1.265625,432.0,1.4040424823760986
0.123046875,42.0,1.4236524105072021
1.265625,432.0,1.4388859272003174
0.123046875,42.0,1.4568321704864502
1.2626953125,431.0,1.4726951122283936
0.123046875,42.0,1.4894323348999023
1.265625,432.0,1.504469871520996
0.123046875,42.0,1.5228643417358398
1.265625,432.0,1.5384042263031006
0.123046875,42.0,1.5573954582214355
1.265625,432.0,1.5724122524261475
0.123046875,42.0,1.5884928703308105
1.265625,432.0,1.603743076324463
0.123046875,42.0,1.622892141342163
1.265625,432.0,1.637876033782959
0.123046875,42.0,1.6564078330993652
1.2626953125,431.0,1.6718940734863281
0.123046875,42.0,1.6874544620513916
1.265625,432.0,1.7025184631347656
0.123046875,42.0,1.7224905490875244
1.265625,432.0,1.7369649410247803
0.123046875,42.0,1.7564880847930908
1.2626953125,431.0,1.7714879512786865
0.123046875,42.0,1.7874865531921387
1.265625,432.0,1.8024876117706299
0.123046875,42.0,1.821486234664917
1.265625,432.0,1.8364863395690918
0.123046875,42.0,1.857011079788208
1.2626953125,431.0,1.8722624778747559
0.123046875,42.0,1.8913905620574951
1.265625,432.0,1.9059691429138184
0.123046875,42.0,1.927276372909546
1.259765625,430.0,1.9412686824798584
0.123046875,42.0,1.961064100265503
1.265625,432.0,1.9756815433502197
0.123046875,42.0,1.9970324039459229
1.2685546875,433.0,2.011784553527832
0.123046875,42.0,2.030872106552124
1.265625,432.0,2.045647382736206
0.123046875,42.0,2.0672719478607178
1.265625,432.0,2.081373691558838
0.123046875,42.0,2.100857734680176
1.265625,432.0,2.1153454780578613
0.123046875,42.0,2.1365299224853516
1.2685546875,433.0,2.150578737258911
0.123046875,42.0,2.1664857864379883
1.2685546875,433.0,2.181917190551758
0.123046875,42.0,2.2000467777252197
1.2685546875,433.0,2.2151782512664795
0.123046875,42.0,2.2360610961914062
1.271484375,434.0,2.250498056411743
0.123046875,42.0,2.2666943073272705
1.271484375,434.0,2.2818002700805664
0.123046875,42.0,2.299579620361328
1.265625,432.0,2.3148810863494873
0.123046875,42.0,2.335517168045044
1.265625,432.0,2.3497490882873535
0.123046875,42.0,2.3664710521698
1.2685546875,433.0,2.3810157775878906
0.123046875,42.0,2.3991825580596924
1.265625,432.0,2.4145121574401855
0.123046875,42.0,2.4351248741149902
1.2685546875,433.0,2.4493796825408936
0.123046875,42.0,2.466578483581543
1.271484375,434.0,2.4818568229675293
0.123046875,42.0,2.4989659786224365
1.2685546875,433.0,2.513951063156128
0.123046875,42.0,2.5343682765960693
1.259765625,430.0,2.54860782623291
0.1171875,40.0,2.5662732124328613
1.2216796875,417.0,2.581575870513916
0.1142578125,39.0,2.598100185394287
1.1982421875,409.0,2.61379337310791
0.1142578125,39.0,2.633868932723999
1.171875,400.0,2.6500840187072754
0.10546875,36.0,2.6664516925811768
1.0927734375,373.0,2.681429147720337
0.099609375,34.0,2.697430372238159
1.01953125,348.0,2.7124521732330322
0.0849609375,29.0,2.7344274520874023
0.896484375,306.0,2.749154567718506
0.0791015625,27.0,2.766178607940674
0.826171875,282.0,2.7811214923858643
0.0703125,24.0,2.7971179485321045
0.720703125,246.0,2.812119722366333
0.0615234375,21.0,2.834212303161621
0.638671875,218.0,2.8492021560668945
